Detailed.Parameter,Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Confident.in.Temps,Evidence.of.temperature.dependence,Activation.energy,Error,Error.Metric,Model.Used,Single.species.or.multiple,Where.to.find.in.paper,Evidence.that.temp.dependence.differs.between.species,Notes,More.notes,Their.Data.or.Dataset.
resource growth rate (r: intrinsic growth rate),resource growth rate,intrinsic growth rate,"Lasfar et al. (2007). Intrinsic growth rate: A new approach to evaluate the effects of temperature, photoperiod and phosphorus–nitrogen concentrations on duckweed growth under controlled eutrophication. Water Research: 41(11): 2333-2340
Activation energy calculated by: Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596",Lab,Freshwater,,,Duckweed,autotroph,Lemna minor,,,,,35,5,30,12,No,Yes,1.09,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=1.09",,"The original paper uses a different model for temperature dependence, which they calculated model parameters for. (see Table 1 in Lasfar et al. (2007))",,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Coelastrum microporum,,,,,35,15,20,5,Somewhat,Yes,0.5,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Selenastrum minutum,,,,,35,15,20,5,Somewhat,Yes,0.34,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Chlorella vulgaris,,,,,35,10,25,6,No,Yes,0.39,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Fragilaria crotonensis,,,,,35,10,25,6,No,Yes,0.47,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Staurastrum pingue,,,,,35,10,25,6,No,Yes,0.56,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Synechocystis minima,,,,,35,10,25,6,Somewhat,Yes,0.36,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Ankistrodesmus nannoselene,,,,,25,15,10,3,Yes,Yes,0.27,0.05,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Chlamydomonas moewusii,,,,,25,15,10,3,Yes,Yes,0.16,0.08,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Chlorella sorokiniana,,,,,25,15,10,3,Yes,Yes,0.99,0.08,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Monoraphidium minutum,,,,,25,15,10,3,Yes,Yes,0.59,0.1,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Scenedesmus obliquus,,,,,25,15,10,3,Yes,No,0,0.08,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Raphidocelis subcapitata,,,,,25,15,10,3,Yes,Yes,0.9,0.19,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
resource growth rate,resource growth rate,,"Aspaly et al. (2007). Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Experimental and Applied Acarology: 42(1): 37-46
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Acarus siro,adult,,,,35,5,30,12,No,Yes,1.93,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"r was calculated exclusively from initial and final population sizes, density dependence was not considered",,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Aspaly et al. (2007). Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Experimental and Applied Acarology: 42(1): 37-46
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Aleuroglyphus ovatus,adult,,,,35,5,30,12,No,Yes,1.74,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"r was calculated exclusively from initial and final population sizes, density dependence was not considered",,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Aspaly et al. (2007). Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Experimental and Applied Acarology: 42(1): 37-46
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Tyrophagus putrescentiae,adult,,,,35,10,25,11,No,Yes,1.37,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,"r was calculated exclusively from initial and final population sizes, density dependence was not considered",temp range starts at 10 rather than 5 like the other two species in the study due to consecutive growth rates of 0 at 5 and 10 degrees. ,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,intrinsic growth rate,"Zamani et al. (2006). Effect of temperature on biology and population growth parameters of Aphis gossypii Glover (Hom., Aphididae) on greenhouse cucumber. Journal of Applied Entomology: 130(8): 453-460
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Aphid,heterotroph,Aphis gossypii,adult,,,,30,10,20,5,No,Yes,0.91,NA,,Arrhenius,single species,From Table S3,,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,maximum doubling rate,"Bronikowski et al. (2001). Evolutionary adaptation to temperature. VIII. Effects of temperature on growth rate in natural isolates of Escherichia coli and Salmonella enterica from different thermal environments. Evolution: 55(1): 33-40
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Bacteria,Bacteria,Proteobacteria,heterotroph,Escherichia coli,,,,,45,10,35,11,No,Yes,0.45,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,maximum doubling rate,"Bronikowski et al. (2001). Evolutionary adaptation to temperature. VIII. Effects of temperature on growth rate in natural isolates of Escherichia coli and Salmonella enterica from different thermal environments. Evolution: 55(1): 33-40
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Bacteria,Bacteria,Proteobacteria,heterotroph,Salmonella enterica,,,,,43,10,33,10,No,Yes,0.56,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate (asexual reporoduction rate),resource growth rate,asexual reproduction rate,"Ma & Purcell. (2005). Effects of temperature, salinity, and predators on mortality of and colonization by the invasive hydrozoan Moerisia lyonsi. Marine Biology: 147(1): 215-244
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Marine,Invertebrates,Cnidarians,Hydrozoan,heterotroph,Moerisia lyonsi ,adult,,,,29,10,19,5,Somewhat,Yes,1.56,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,asexual reproduction rate was measured at a range of salinities. The activation energy calculated by Dell et al. appears to be from just one of those salinities.,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Rose et al. (2009). Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. ISME Journal: 3(2): 252-260
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,,,,20,0,20,5,No,Yes,1.04,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,specific growth rate,"Caron et al. (1986). Effect of temperature on growth, respiration, and nutrient regeneration by an omnivorous microflagellate. Applied and Environmental Microbiology: 52(6): 1340-1347
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,,,,26,14,12,4,Somewhat,Yes,0.65,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,Q10 was calculated in the original study (Fig. 2),,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Goldasteh et al. (2009). Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd). Archives of Biological Sciences: 61(2): 329-336
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Mealybug,heterotroph,Planococcus citri,adult,,,,32,18,14,7,No,Yes,1.18,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,No,Yes,0.74,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,No,Yes,0.95,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,No,Yes,0.75,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,No,Yes,0.98,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Bruce et al. (2009). Host acceptance, suitability, and effects of host deprivation on the West African egg parasitoid Telenomus isis (Hymenoptera: Scelionidae) reared on East African stem-borers under varying temperature and relative humidity regimes. Environmental Entomology: 38(3): 904-919.
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Parasitoid wasp,heterotroph,Telenomus isis,,,,,32,18,14,6,No,Yes,0.87,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Kuo et al. (2006). Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera: Pemphigidae) on three host plants. Journal of Economic Entomology: 99(4): 1209-1213
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Aphid,heterotroph,Tetraneura nigriabdominalis,,,,,30,10,20,5,Somewhat,Yes,0.87,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,,"Weisse et al. (2002). Interactive effect of temperature and food concentration on growth rate: A test case using the small freshwater ciliate Urotricha farcta.Limnology and Oceanography: 47(5): 1447-1455
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Cilliate,heterotroph,Urotricha farcta,,,,,24,9,15,6,Somewhat,Yes,0.6,NA,,Arrhenius,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
K: resource carrying capacity,resource carrying capacity,carrying capacity,"Bernhardt et al. (2018). Metabolic theory and the temperature-size rule explain the
temperature dependence of population carrying capacity. American Naturalist: 192(6): 687-697",Lab,Marine,,,Phytoplankton,autotroph,Tetraselmis tetrahele,,,,,25,5,20,4,Yes,Yes,-0.34,0.03,95% CI,Arrhenius,single species,"From Table 1
E=-0.34 (accounting for size change with temp)",,This activation energy accounts for changing body size with temperature,,their data
K: resource carrying capacity,resource carrying capacity,carrying capacity,"Bernhardt et al. (2018). Metabolic theory and the temperature-size rule explain the
temperature dependence of population carrying capacity. American Naturalist: 192(6): 687-697",Lab,Marine,,,Phytoplankton,autotroph,Tetraselmis tetrahele,,,,,25,5,20,4,Yes,Yes,-0.22,0.04,95% CI,Arrhenius,single species,"From Table 1
E=-0.22 (without accounting for size change with temp)",,This activation energy does not account for changing body size,,their data
K: resource carrying capacity,resource carrying capacity,maximum population density,"Alto & Juliano (2001). Temperature effects on the dynamics of Aedes albopictus (Diptera: Culicidae) populations in the laboratory. Journal of Medical Entomology: 38(4): 548-556
Activation energy calculated in: Fussmann et al. (2014). Ecological stability in response to warming. Nature Climate Change: 4(3): 206-210",Lab,Mixed: Freshwater/Terrestrial,Invertebrates,Insects,Mosquito,heterotroph,Aedes albopictus,adult,,,,24,22,2,3,Yes,Yes,-1.38,0.36,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"food for larvae was provided only once at the beginning of the experiment and not replaced, so max population density was followed by a decline due to food shortage",,"their data, part of Fussmann et al. (2014) dataset"
K: resource carrying capacity,resource carrying capacity,maximum population density,"Greene & Jezeski (1954). Influence of temperature on the development of several psychrophilic bacteria of dairy
origin. Applied Microbiology: 2(2): 110-117
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,...Milk?,Bacteria,Bacteria,Bacteria,heterotroph,Aerobacter aerogenes,,,,,35,0,35,7,Yes,Yes,-0.71,0.18,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"measurements at 10°C were terminated before the end of stationary phase, so the maximum counts at this temp could be underestimates",,"their data, part of Fussmann et al. (2014) dataset"
K: resource carrying capacity,resource carrying capacity,maximum population density,"Greene & Jezeski (1954). Influence of temperature on the development of several psychrophilic bacteria of dairy
origin. Applied Microbiology: 2(2): 110-117
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,...Milk?,Bacteria,Bacteria,Bacteria,heterotroph,Pseudomonas sp. strain #92,,,,,30,0,30,6,Yes,Yes,-0.68,0.51,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"measurements at 10°C were terminated before the end of stationary phase, so the maximum counts at this temp could be underestimates","the two Pseudomonas strains may be switched, Fussmann et al. call them 1 and 2, rather than the numbers used here and in the original publication","their data, part of Fussmann et al. (2014) dataset"
