Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Activation.energy,Error,Error.Metric,Model.Used,Where.to.find.in.paper
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.53,NA,,Arrhenius,From Table S3
consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.36,0.14,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.77,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.86,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.86,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.92,NA,,Arrhenius,From Table S3
consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.93,NA,,Arrhenius,From Table S3
consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,0.7,0.21,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.46,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.63,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.65,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.74,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,0.85,NA,,Arrhenius,From Table S3
consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus regnans,adult,24,11.5,12.5,4,0.74,NA,,Arrhenius,From Table S3
consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus viminalis,adult,24,11.5,12.5,4,0.65,NA,,Arrhenius,From Table S3
consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Pinus radiata,adult,26,9,17,5,0.77,NA,,Arrhenius,From Table S3
consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,30,15,15,4,0.51,NA,,Arrhenius,From Table S3
consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,30,15,15,4,0.56,NA,,Arrhenius,From Table S3
consumption rate,maximum feeding rate,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,adult,Anisops deanei,unsure,30,15,15,4,0.56,0.33,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,0.53,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,0.58,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,0.61,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,0.93,NA,,Arrhenius,From Table S3
consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Marine,Invertebrates,Molluscs,Sea snail,heterotroph,Urosalpinx cinerea,adult,Oyster,Crassostrea virginica,juvenile,30,8.3,21.7,5,1.18,NA,,Arrhenius,From Table S3
consumption rate,maximum ingestion rate,"Durbin & Durbin (1992). Effects of temperature and food abundance on grazing and short-term weight change in the marine copepod Acartia hudsonica. Limnology and Oceanography: 37(2): 361-378
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Marine,Invertebrates,Crustaceans,Copepod,heterotroph,Acartia hudsonica,adult,Diatom,Thalassiosira constricta,,16,4.5,11.5,4,0.52,0.2,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Neoseiulus californicus,,Mite,Tetranychus urticae,eggs,30,20,10,3,0.41,0.07,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Thrips,heterotroph,Scolothrips takahashii,,Mite,Tetranychus urticae,eggs,30,20,10,3,0.65,0,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum ingestion rate,"Gotoh et al. (2004). Prey consumption and functional response of three acarophagous species to eggs of the two-spotted spider mite in the laboratory. Applied Entomology and Zoology: 39(1): 97-105
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus japonicus,,Mite,Tetranychus urticae,eggs,30,20,10,3,0.94,0.17,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Calathus fuscipes,adult,Beetle,Alphitobius diaperinus,juvenile,NA,NA,15,4,0.27,0.04,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Calathus fuscipes,adult,Fruit fly,Drosophila hydei,adult,30,5,25,6,0.2,0.12,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Harpalus rufipes,adult,Beetle,Alphitobius diaperinus,juvenile,30,5,25,6,0.33,0.06,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Harpalus rufipes,adult,Fruit fly,Drosophila hydei,adult,30,5,25,6,0.38,0.14,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Pterostichus melanarius,adult,Beetle,Alphitobius diaperinus,juvenile,30,5,25,6,0.3,0.08,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Vucic-Pestic et al. (2011). Warming up the system: higher predator feeding rates but lower energetic efficiencies. Global Change Biology: 17(3): 1301-1310
Activation energy calculated in: Fussmann et al. (2014) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Pterostichus melanarius,adult,Fruit fly,Drosophila hydei,adult,30,5,25,6,0.14,0.04,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum attack rate?,"Gilioli et al. (2005). Temperature influences on functional response of Coenosia attenuata (Diptera : Muscidae) individuals. Journal of Economic Entomology: 98(5): 1524-1530
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Fly,heterotroph,Coenosia attenuata,adult,Fruit fly,Drosophila melanogaster,adult,36,18,18,4,0.82,0.3,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Sentis et al. (2012). Using functional response modeling to investigate the effect of temperature on predator feeding rate and energetic efficiency. Oecologia: 169(4): 1117-1125
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coleomegilla maculata,juvenile,Aphid,Myzus persicae,,32.8,13.9,18.9,6,0.68,0.1,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,prey killed per unit time,"IÅŸikber (2005). Functional response of two coccinellid predators, Scymnus levaillanti and Cycloneda sanguinea, to the cotton aphid Aphis gossypii. Turkish Journal of Agriculture and Forestry: 29(5): 347-355
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Cycloneda sanguinea,adult,Aphid,Aphis gossypii,unsure,30,20,10,3,0.91,0.33,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,prey killed per unit time,"IÅŸikber (2005). Functional response of two coccinellid predators, Scymnus levaillanti and Cycloneda sanguinea, to the cotton aphid Aphis gossypii. Turkish Journal of Agriculture and Forestry: 29(5): 347-355
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Scymnus levaillanti,adult,Aphid,Aphis gossypii,unsure,30,20,10,3,1.84,0.25,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Ahn et al. (2010). Functional response of Neoseiulus californicus (Acari: Phytoseiidae) to Tetranychus urticae (Acari: Tetranychidae) on strawberry leaves. Journal of Applied Entomology: 134(2): 98-104
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Neoseiulus californicus,adult,Mite,Tetranychus urticae,egg,NA,NA,15,4,0.38,0.04,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Butler & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Arachnids,Water mite,heterotroph,Piona exigua,unsure,Cladocera,Ceriodaphnia dubia,unsure,22,10,12,4,0.63,0.17,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Butler & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Arachnids,Water mite,heterotroph,Piona exigua,unsure,Cladocera,Ceriodaphnia dubia,unsure,22,10,12,4,0.53,0.07,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Butler & Burns (1993). Water mite predation on planktonic Cladocera: parallel curve analysis of functional responses. Oikos: 66(1): 5-16
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Arachnids,Water mite,heterotroph,Piona exigua,adult,Cladocera,Daphnia carinata,unsure,22,10,12,4,1.21,0.4,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Mohaghegh et al. (2001). Functional response of the predators Podisus maculiventris (Say) and Podisus nigrispinus (Dallas) (Het., Pentatomidae) to the beet armyworm, Spodoptera exigua (Hubner) (Lep., Noctuidae): effect of temperature. Journal of Applied Emtomology: 125(3): 131-134
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Stink bug,heterotroph,Podisus maculiventris,adult,Lepidoptera,Spodoptera exigua,juvenile,27,18,9,9,0.24,0.01,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Mohaghegh et al. (2001). Functional response of the predators Podisus maculiventris (Say) and Podisus nigrispinus (Dallas) (Het., Pentatomidae) to the beet armyworm, Spodoptera exigua (Hubner) (Lep., Noctuidae): effect of temperature. Journal of Applied Emtomology: 125(3): 131-134
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Stink bug,heterotroph,Podisus nigrispinus,adult,Lepidoptera,Spodoptera exigua,juvenile,27,18,9,9,0.75,0.44,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Li et al. (2007). Functional response of the predator Scolothrips takahashii to hawthorn spider mite, Tetranychus viennensis: effect of age and temperature. BioControl: 52(1): 41-61
Activation energy calculated in: Fussman et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Thrips,heterotroph,Scolothrips takahashii,adult,Mite,Tetranychus viennensis,eggs,35,20,15,4,0.52,0.08,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,"Li et al. (2007). Functional response of the predator Scolothrips takahashii to hawthorn spider mite, Tetranychus viennensis: effect of age and temperature. BioControl: 52(1): 41-61
Activation energy calculated in: Fussman et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Thrips,heterotroph,Scolothrips takahashii,adult,Mite,Tetranychus viennensis,eggs,35,20,15,4,0.46,0.09,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,maximum feeding rate,Fussmann et al. (2014). Ecological stability in response to warming. Nature Climate Change: 4(3): 206-210,Lab,,,,Cilliate,heterotroph,Tetrahymena pyriformis,,Bacteria,Pseudomonas fluorescens,,30,15,15,4,0.19,NA,,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
conversion efficiency,,"Person Le-Ruyet et al. (2004). Effects of temperature on growth and metabolism in a Mediterranean population of European sea bass, Dicentrarchus labrax. Aquaculture: 237(1): 269-280
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Marine,Vertebrates,Fish,Fish,heterotroph,Dicentrarchus labrax,,dry food pellet,,,28.8,13.4,15.4,6,0.39,NA,,Arrhenius,"From Table S3 in Dell et al. (2011)
E=0.39"
conversion efficiency,,"Rose et al. (2009). Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. ISME Journal: 3(2): 252-260
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,Proteobacteria,Halomonas marina,,20,0,20,5,0.23,NA,,Arrhenius,"From Table S3 in Dell et al. (2011)
E=0.23"
conversion efficiency,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1282",Lab,Marine,,,Tintinnids (zooplankton),heterotroph,Tintinnopsis acuminata,,Phytoplankton,Isochrysis galbana,,25,15,10,3,-0.44,NA,,Arrhenius,"I calculated this myself. Data from Table 2 
(I have the code I used to calculate it)"
conversion efficiency,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1283",Lab,Marine,,,Tintinnids (zooplankton),heterotroph,Tintinnopsis vasculum,,Phytoplankton,Dicrateria inornata,,15,5,10,3,-0.15,NA,,Arrhenius,"I calculated this myself. Data from Table 2 
(I have the code I used to calculate it)"
conversion efficiency,biovolume of consumer produced compared to biovolume of resource consumed,"Caron et al. (1986). Effect of temperature on growth, respiration, and nutrient regeneration by an omnivorous microflagellate. Applied and Environmental Microbiology: 52(6): 1340-1347",Lab,Marine,,,Protist,heterotroph,Paraphysomonas imperforata,,Diatom,Phaeodactylum tricornutum,,26,14,12,4,-0.02,0.04,SE,Arrhenius,"I calculated this myself. Data from Table 5
(I have the code I used to calculate it)"